,docket,win
1034,11XXXXX,1
1035,11XXXXX,1
1036,11XXXXX,1
1037,11XXXXX,1
1038,11 MXXX,1
1039,11 ORIG,0
1040,11 ORIG,1
1041,11ÃÂ5001,0
1042,110XXXX,0
1043,110XXXX,0
1044,110XXXX,1
1045,110XXXX,1
1046,110XXXX,1
1047,110XXXX,1
1048,1103XXX,1
1049,1107 MX,1
1050,111XXXX,0
1051,111XXXX,0
1052,111XXXX,1
1053,111XXXX,1
1054,111XXXX,1
1055,111XXXX,1
1056,111XXXX,1
1057,111 ORIG,1
1058,11-10189,1
1059,11-1025,1
1060,11-10362,1
1061,11-1053,1
1062,11-1059,1
1063,11-1085,0
1064,1111 MX,0
1065,11-1118,1
1066,11-1160,1
1067,11-1175,0
1068,11-1179,1
1069,1112 MX,1
1070,11-1221,0
1071,11-1231,1
1072,11-1274,1
1073,11-1285,0
1074,11-1327,1
1075,11-1347,1
1076,11-1351,1
1077,11-1377,1
1078,11-139X,0
1079,11-1425,0
1080,11-1447,1
1081,11-1450,1
1082,11-1518,1
1083,11-1545,0
1084,11-159X,1
1085,11-161X,0
1086,11-166X,0
1087,11-182X,0
1088,11-184X,1
1089,11-192X,1
1090,11-199X,0
1091,112XXXX,0
1092,112XXXX,1
1093,112XXXX,1
1094,112XXXX,1
1095,112 ORIG,0
1096,11-204X,0
1097,11-208X,1
1098,11-210X,0
1099,11-246X,0
1100,11-262X,1
1101,113XXXX,0
1102,113XXXX,0
1103,113XXXX,1
1104,113XXXX,1
1105,113XXXX,1
1106,113XXXX,1
1107,113 ORIG,1
1108,1133XXX,1
1109,11-338X,1
1110,1134 MX,1
1111,11-345X,1
1112,1136XXX,1
1113,11-38XX,1
1114,11-391X,1
1115,11-393X,0
1116,114XXXX,0
1117,114XXXX,1
1118,114XXXX,1
1119,11-45XX,0
1120,11-460X,1
1121,11-465X,1
1122,115XXXX,0
1123,115XXXX,1
1124,115XXXX,1
1125,115XXXX,1
1126,1152XXX,1
1127,11-551X,0
1128,11-556X,0
1129,11-564X,0
1130,11-83XX,1
1131,11-597X,1
1132,116XXXX,0
1133,116XXXX,0
1134,116XXXX,1
1135,116XXXX,1
1136,11-626X,1
1137,11-681X,1
1138,11-697X,1
1139,117XXXX,0
1140,117XXXX,0
1141,117XXXX,1
1142,117XXXX,1
1143,117XXXX,1
1144,117 MXX,1
1145,11-702X,1
1146,11-713X,1
1147,1173 MX,1
1148,11-74XX,1
1149,11-770X,1
1150,1179 MX,1
1151,11-796X,0
1152,11-798X,1
1153,118XXXX,0
1154,118XXXX,0
1155,118XXXX,1
1156,118XXXX,1
1157,118XXXX,1
1158,118XXXX,1
1159,118 ORIG,1
1160,11-817X,1
1161,11-820X,0
1162,11-845X,1
1163,11-864X,1
1164,1188XXX,1
1165,11-88XX,0
1166,11-889X,0
1167,11-76XX,0
1168,119XXXX,0
1169,119XXXX,0
1170,119XXXX,0
1171,119XXXX,1
1172,119XXXX,1
1173,119 MXX,1
1174,1191 MX,1
1175,11-07XX,1
1176,11-35XX,1
1177,11-94XX,1
1178,1195XXX,1
1179,11-40XX,1
1180,11-965X,1
1181,11-982X,0
1182,11-53XX,0
1183,12XXXXX,0
1184,12XXXXX,0
1185,12XXXXX,0
1186,12XXXXX,0
1187,12XXXXX,0
1188,12XXXXX,0
1189,12XXXXX,0
1190,12XXXXX,0
1191,12XXXXX,0
1192,12XXXXX,0
1193,12XXXXX,0
1194,12XXXXX,0
1195,12XXXXX,1
1196,12XXXXX,1
1197,12XXXXX,1
1198,12XXXXX,1
1199,12XXXXX,1
1200,12XXXXX,1
1201,12 ORIG,0
1202,12 ORIG,0
1203,12 ORIG,1
1204,120XXXX,0
1205,120XXXX,0
1206,120XXXX,1
1207,120 ORIG,0
1208,120 ORIG,1
1209,121XXXX,0
1210,121XXXX,0
1211,121XXXX,1
1212,121XXXX,1
1213,121XXXX,1
1214,121XXXX,1
1215,121XXXX,
1216,121 ORIG,0
1217,121 ORIG,0
1218,10-12XX,0
1219,12-1036,1
1220,12-1038,1
1221,12-1084,0
1222,12-10882,1
1223,1211XXX,1
1224,12-1117,1
1225,12-1128,1
1226,12-1146,0
1227,12-1163,1
1228,12-1168,1
1229,12-1173,1
1230,12-1182,1
1231,12-1184,1
1232,12-1200,0
1233,12-1217,1
1234,12-1226,1
1235,12-123X,1
1236,12-126X,1
1237,12-1281,0
1238,12-1315,1
1239,12-133X,1
1240,12-135X,0
1241,12-1371,1
1242,12-138X,1
1243,12-1408,1
1244,12-142X,1
1245,12-144X,0
1246,12-1493,0
1247,12-1497,1
1248,12-158X,1
1249,12-167X,1
1250,12-168X,1
1251,17-12XX,0
1252,1218XXX,0
1253,1218XXX,0
1254,1219XXX,1
1255,122XXXX,0
1256,122XXXX,1
1257,122XXXX,1
1258,122XXXX,1
1259,122XXXX,1
1260,12-207X,1
1261,12-236X,0
1262,12-246X,0
1263,25-12XX,1
1264,123XXXX,1
1265,123XXXX,1
1266,123XXXX,1
1267,123XXXX,1
1268,3-12XXX,1
1269,12-307X,0
1270,12-315X,1
1271,1232 MX,1
1272,12-357X,1
1273,1238XXX,1
1274,12-382X,1
1275,12-398X,1
1276,12-399X,1
1277,124XXXX,0
1278,124XXXX,0
1279,124XXXX,0
1280,124XXXX,0
1281,124XXXX,1
1282,12-414X,1
1283,12-416X,1
1284,12-417X,0
1285,12-418X,1
1286,12-43XX,1
1287,12-462X,1
1288,12-464X,0
1289,12-484X,1
1290,125XXXX,0
1291,125XXXX,1
1292,125XXXX,1
1293,1250 MX,1
1294,12-515X,0
1295,12-96XX,1
1296,1252XXX,0
1297,12-52XX,0
1298,12-536X,1
1299,12-547X,1
1300,1255 MX,0
1301,12-562X,1
1302,12-574X,1
1303,126XXXX,0
1304,126XXXX,0
1305,126XXXX,1
1306,126XXXX,1
1307,126XXXX,1
1308,126 ORIG,0
1309,"126, ORIG.",1
1310,12-609X,1
1311,12-62XX,1
1312,1267XXX,1
1313,12-682X,1
1314,12-694X,1
1315,12-696X,1
1316,127XXXX,0
1317,127XXXX,0
1318,127XXXX,0
1319,127XXXX,1
1320,127XXXX,1
1321,127XXXX,1
1322,127XXXX,1
1323,127 ORIG,0
1324,12-71XX,0
1325,12-729X,0
1326,12-751X,1
1327,12-15XX,1
1328,12-761X,1
1329,12-22XX,0
1330,12-786X,1
1331,12-79XX,0
1332,12-794X,1
1333,128XXXX,0
1334,128XXXX,0
1335,128 ORIG,0
1336,128 ORIG,0
1337,12-815X,1
1338,12-820X,0
1339,12-842X,0
1340,12-61XX,1
1341,12-872X,0
1342,12-873X,0
1343,12-895X,1
1344,129XXXX,1
1345,129XXXX,1
1346,12-12XX,0
1347,1291XXX,1
1348,12-929X,1
1349,12-930X,1
1350,12-90XX,0
1351,12-96XX,1
1352,12-98XX,0
1353,12-99XX,0
1354,12-992X,1
1355,13XXXXX,0
1356,13XXXXX,0
1357,13XXXXX,0
1358,13XXXXX,0
1359,13XXXXX,0
1360,13XXXXX,0
1361,13XXXXX,1
1362,13XXXXX,1
1363,13XXXXX,1
1364,13XXXXX,1
1365,13XXXXX,1
1366,13XXXXX,1
1367,13XXXXX,1
1368,13XXXXX,1
1369,13XXXXX,1
1370,13XXXXX,1
1371,13XXXXX,1
1372,13XXXXX,1
1373,13XXXXX,
1374,13 MXXX,1
1375,13 ORIG,0
1376,13 ORIG,0
1377,13 ORIG,1
1378,"13, Original",1
1379,130XXXX,0
1380,130XXXX,1
1381,130XXXX,1
1382,130XXXX,1
1383,130XXXX,1
1384,130 ORIG,0
1385,1301 MX,1
1386,131XXXX,0
1387,131XXXX,0
1388,131XXXX,1
1389,131XXXX,1
1390,13-1010,1
1391,13-1019,1
1392,13-1032,1
1393,13-1034,1
1394,13-1041,1
1395,13-1067,1
1396,13-1074,0
1397,13-1080,1
1398,13-113X,1
1399,13-115X,1
1400,13-1174,1
1401,13-1175,0
1402,13-1211,0
1403,13-1314,0
1404,13-132X,1
1405,13-1333,0
1406,13-1339,1
1407,13-1352,1
1408,13-1371,0
1409,13-1402,1
1410,13-1412,0
1411,13-1421,1
1412,13-1428,1
1413,13-1433,1
1414,13-1487,1
1415,13-1496,0
1416,13-1499,0
1417,13-193X,1
1418,132XXXX,1
1419,132XXXX,1
1420,132XXXX,1
1421,"132, Orig.",0
1422,13-271X,0
1423,1328XXX,1
1424,13-298X,0
1425,13-299X,0
1426,133XXXX,0
1427,133XXXX,1
1428,133XXXX,1
1429,133XXXX,1
1430,133XXXX,1
1431,133XXXX,1
1432,133 MXX,1
